time,ambientTemperature,surfTemp100mA,newsurfTemp100mA,surfTemp50mA,surfTemp30mA
1741,27.929754,29.73,29.726,29.7206,29.71
1751,27.929925,29.73,29.726,29.7206,29.71
1761,27.930096,29.62,29.616,29.6106,29.6
1771,27.930267,29.62,29.616,29.6106,29.6
1781,27.930438,29.62,29.616,29.6106,29.6
1791,27.930609,29.73,29.726,29.7206,29.71
1801,27.93078,29.62,29.616,29.6106,29.6
1811,27.930951,29.62,29.616,29.6106,29.6
1821,27.931122,29.62,29.616,29.6106,29.6
1831,27.931293,29.62,29.616,29.6106,29.6
1841,27.931464,29.62,29.616,29.6106,29.6
1851,27.931635,29.62,29.616,29.6106,29.6
1861,27.931806,29.62,29.616,29.6106,29.6
1871,27.931977,29.62,29.616,29.6106,29.6
1881,27.932148,29.62,29.616,29.6106,29.6
1891,27.932319,29.62,29.616,29.6106,29.6
1901,27.93249,29.62,29.616,29.6106,29.6
1911,27.932661,29.62,29.616,29.6106,29.6
1921,27.932832,29.62,29.616,29.6106,29.6
1931,27.933003,29.73,29.726,29.7206,29.71
1941,27.933174,29.73,29.726,29.7206,29.71
1951,27.933345,29.62,29.616,29.6106,29.6
1961,27.933516,29.62,29.616,29.6106,29.6
1971,27.933687,29.62,29.616,29.6106,29.6
1981,27.933858,29.62,29.616,29.6106,29.6
1991,27.934029,29.62,29.616,29.6106,29.6
2001,27.9342,29.62,29.616,29.6106,29.6
2011,27.934371,29.62,29.616,29.6106,29.6
2021,27.934542,29.62,29.616,29.6106,29.6
2031,27.934713,29.62,29.616,29.6106,29.6
2041,27.934884,29.62,29.616,29.6106,29.6
2051,27.935055,29.73,29.726,29.7206,29.71
2061,27.935226,29.62,29.616,29.6106,29.6
2071,27.935397,29.62,29.616,29.6106,29.6
2081,27.935568,29.62,29.616,29.6106,29.6
2091,27.935739,29.62,29.616,29.6106,29.6
2101,27.93591,29.62,29.616,29.6106,29.6
2111,27.936081,29.62,29.616,29.6106,29.6
2121,27.936252,29.62,29.616,29.6106,29.6
2131,27.936423,29.62,29.616,29.6106,29.6
2141,27.936594,29.62,29.616,29.6106,29.6
2151,27.936765,29.62,29.616,29.6106,29.6
2161,27.936936,29.62,29.616,29.6106,29.6
2171,27.937107,29.62,29.616,29.6106,29.6
2181,27.937278,29.62,29.616,29.6106,29.6
2191,27.937449,29.62,29.616,29.6106,29.6
2201,27.93762,29.62,29.616,29.6106,29.6
2211,27.937791,29.62,29.616,29.6106,29.6
2221,27.937962,29.62,29.616,29.6106,29.6
2231,27.938133,29.62,29.616,29.6106,29.6
2241,27.938304,29.62,29.616,29.6106,29.6
2251,27.938475,29.62,29.616,29.6106,29.6
2261,27.938646,29.52,29.516,29.5106,29.5
2271,27.938817,29.62,29.616,29.6106,29.6
2281,27.938988,29.62,29.616,29.6106,29.6
2291,27.939159,29.62,29.616,29.6106,29.6
2301,27.93933,29.62,29.616,29.6106,29.6
2311,27.939501,29.62,29.616,29.6106,29.6
2321,27.939672,29.62,29.616,29.6106,29.6
2331,27.939843,29.62,29.616,29.6106,29.6
2341,27.940014,29.73,29.726,29.7206,29.71
2351,27.940185,29.62,29.616,29.6106,29.6
2361,27.940356,29.62,29.616,29.6106,29.6
2371,27.940527,29.62,29.616,29.6106,29.6
2381,27.940698,29.62,29.616,29.6106,29.6
2391,27.940869,29.62,29.616,29.6106,29.6
2401,27.94104,29.62,29.616,29.6106,29.6
2411,27.941211,29.62,29.616,29.6106,29.6
2421,27.941382,29.62,29.616,29.6106,29.6
2431,27.941553,29.62,29.616,29.6106,29.6
2441,27.941724,29.62,29.616,29.6106,29.6
2451,27.941895,29.73,29.726,29.7206,29.71
2461,27.942066,29.62,29.616,29.6106,29.6
2471,27.942237,29.62,29.616,29.6106,29.6
2481,27.942408,29.62,29.616,29.6106,29.6
2491,27.942579,29.62,29.616,29.6106,29.6
2501,27.94275,29.62,29.616,29.6106,29.6
2511,27.942921,29.73,29.726,29.7206,29.71
2521,27.943092,29.62,29.616,29.6106,29.6
2531,27.943263,29.62,29.616,29.6106,29.6
2541,27.943434,29.62,29.616,29.6106,29.6
2551,27.943605,29.62,29.616,29.6106,29.6
2561,27.943776,29.73,29.726,29.7206,29.71
2571,27.943947,29.73,29.726,29.7206,29.71
2581,27.944118,29.62,29.616,29.6106,29.6
2591,27.944289,29.62,29.616,29.6106,29.6
2601,27.94446,29.62,29.616,29.6106,29.6
2611,27.944631,29.62,29.616,29.6106,29.6
2621,27.944802,29.62,29.616,29.6106,29.6
2631,27.944973,29.62,29.616,29.6106,29.6
2641,27.945144,29.62,29.616,29.6106,29.6
2651,27.945315,29.62,29.616,29.6106,29.6
2661,27.945486,29.62,29.616,29.6106,29.6
2671,27.945657,29.62,29.616,29.6106,29.6
2681,27.945828,29.62,29.616,29.6106,29.6
2691,27.945999,29.52,29.516,29.5106,29.5
2701,27.94617,29.52,29.516,29.5106,29.5
2711,27.946341,29.52,29.516,29.5106,29.5
2721,27.946512,29.62,29.616,29.6106,29.6
2731,27.946683,29.62,29.616,29.6106,29.6
2741,27.946854,29.62,29.616,29.6106,29.6
2751,27.947025,29.62,29.616,29.6106,29.6
2761,27.947196,29.62,29.616,29.6106,29.6
2771,27.947367,29.62,29.616,29.6106,29.6
2781,27.947538,29.62,29.616,29.6106,29.6
2791,27.947709,29.62,29.616,29.6106,29.6
2801,27.94788,29.62,29.616,29.6106,29.6
2811,27.948051,29.62,29.616,29.6106,29.6
2821,27.948222,29.62,29.616,29.6106,29.6
2831,27.948393,29.52,29.516,29.5106,29.5
2841,27.948564,29.52,29.516,29.5106,29.5
2851,27.948735,29.52,29.516,29.5106,29.5
2861,27.948906,29.52,29.516,29.5106,29.5
2871,27.949077,29.52,29.516,29.5106,29.5
2881,27.949248,29.52,29.516,29.5106,29.5
2891,27.949419,29.52,29.516,29.5106,29.5
2901,27.94959,29.52,29.516,29.5106,29.5
2911,27.949761,29.52,29.516,29.5106,29.5
2921,27.949932,29.52,29.516,29.5106,29.5
2931,27.950103,29.52,29.516,29.5106,29.5
2941,27.950274,29.52,29.516,29.5106,29.5
2951,27.950445,29.52,29.516,29.5106,29.5
2961,27.950616,29.52,29.516,29.5106,29.5
2971,27.950787,29.52,29.516,29.5106,29.5
2981,27.950958,29.52,29.516,29.5106,29.5
2991,27.951129,29.52,29.516,29.5106,29.5
3001,27.9513,29.52,29.516,29.5106,29.5
3011,27.951471,29.52,29.516,29.5106,29.5
3021,27.951642,29.52,29.516,29.5106,29.5
3031,27.951813,29.52,29.516,29.5106,29.5
3041,27.951984,29.52,29.516,29.5106,29.5
3051,27.952155,29.62,29.616,29.6106,29.6
3061,27.952326,29.62,29.616,29.6106,29.6
3071,27.952497,29.62,29.616,29.6106,29.6
3081,27.952668,29.62,29.616,29.6106,29.6
3091,27.952839,29.62,29.616,29.6106,29.6
3101,27.95301,29.62,29.616,29.6106,29.6
3111,27.953181,29.52,29.516,29.5106,29.5
3121,27.953352,29.52,29.516,29.5106,29.5
3131,27.953523,29.52,29.516,29.5106,29.5
3141,27.953694,29.52,29.516,29.5106,29.5
3151,27.953865,29.62,29.616,29.6106,29.6
3161,27.954036,29.62,29.616,29.6106,29.6
3171,27.954207,29.62,29.616,29.6106,29.6
3181,27.954378,29.62,29.616,29.6106,29.6
3191,27.954549,29.62,29.616,29.6106,29.6
3201,27.95472,29.62,29.616,29.6106,29.6
3211,27.954891,29.62,29.616,29.6106,29.6
3221,27.955062,29.62,29.616,29.6106,29.6
3231,27.955233,29.62,29.616,29.6106,29.6
3241,27.955404,29.62,29.616,29.6106,29.6
3251,27.955575,29.62,29.616,29.6106,29.6
3261,27.955746,29.62,29.616,29.6106,29.6
3271,27.955917,29.62,29.616,29.6106,29.6
3281,27.956088,29.62,29.616,29.6106,29.6
3291,27.956259,29.62,29.616,29.6106,29.6
3301,27.95643,29.52,29.516,29.5106,29.5
3311,27.956601,29.52,29.516,29.5106,29.5
3321,27.956772,29.52,29.516,29.5106,29.5
3331,27.956943,29.52,29.516,29.5106,29.5
3341,27.957114,29.52,29.516,29.5106,29.5
3351,27.957285,29.52,29.516,29.5106,29.5
3361,27.957456,29.52,29.516,29.5106,29.5
3371,27.957627,29.52,29.516,29.5106,29.5
3381,27.957798,29.52,29.516,29.5106,29.5
3391,27.957969,29.52,29.516,29.5106,29.5
3401,27.95814,29.52,29.516,29.5106,29.5
3411,27.958311,29.52,29.516,29.5106,29.5
3421,27.958482,29.52,29.516,29.5106,29.5
3431,27.958653,29.52,29.516,29.5106,29.5
3441,27.958824,29.52,29.516,29.5106,29.5
3451,27.958995,29.52,29.516,29.5106,29.5
3461,27.959166,29.52,29.516,29.5106,29.5
3471,27.959337,29.52,29.516,29.5106,29.5
3481,27.959508,29.52,29.516,29.5106,29.5
3491,27.959679,29.52,29.516,29.5106,29.5
3501,27.95985,29.62,29.616,29.6106,29.6
3511,27.960021,29.52,29.516,29.5106,29.5
3521,27.960192,29.52,29.516,29.5106,29.5
3531,27.960363,29.52,29.516,29.5106,29.5
3541,27.960534,29.52,29.516,29.5106,29.5
3551,27.960705,29.52,29.516,29.5106,29.5
3561,27.960876,29.52,29.516,29.5106,29.5
3571,27.961047,29.52,29.516,29.5106,29.5
3581,27.961218,29.52,29.516,29.5106,29.5
3591,27.961389,29.62,29.616,29.6106,29.6
